Date,Product Name,Lowest Value
2023-07-27,apple airpods 3rd generation,₹19600
2023-07-27,tetley original rich taste of assam 100 bags,₹204
2023-07-27,cadbury dairy milk chocolate oreo 130g,₹176
2023-07-27,Iphone 14 128Gb,₹69999
2023-07-27,Iphone 13 mini 512gb,₹89999
2023-07-27,ptron fusion evo v3,₹999
2023-07-27,boat stone 352,₹1599
2023-07-27,Panasonic 6 Kg 5 Star Fully-Automatic Top Loading Washing Machine,₹13990
2023-07-27,amul dark chocolate 150g,₹280
2023-07-27,mogu mogu grape,₹420
2023-07-27,Adidas Mens Rush M running,₹1619
2023-07-27,More & More Unisex-Adult never mind printed hoodie,₹799
